dataset_name,sampling_budget,query_ratio,mean_accuracy
Combo_001.csv,1e-05,0.05500000000000001,0.331574916598
Combo_001.csv,1.5e-05,0.05500000000000001,0.3528739079001
Combo_001.csv,2e-05,0.05500000000000001,0.36431688023670006
Combo_001.csv,3e-05,0.05500000000000001,0.38469753182929994
Combo_001.csv,4e-05,0.05500000000000001,0.4069828735997
Combo_001.csv,5e-05,0.05500000000000001,0.4091016351554
Combo_001.csv,6e-05,0.05500000000000001,0.42771098174590005
Combo_001.csv,7e-05,0.05500000000000001,0.4344588742673
Combo_001.csv,8e-05,0.05500000000000001,0.4419287569295
Combo_001.csv,9e-05,0.05500000000000001,0.4507852602315999
Combo_001.csv,0.0001,0.05500000000000001,0.44614532235099996
Combo_001.csv,0.0005,0.05500000000000001,0.5389565082602
Combo_001.csv,0.001,0.05500000000000001,0.5867961624978
Combo_001.csv,0.0015,0.05500000000000001,0.6072201282514001
Combo_001.csv,0.002,0.05500000000000001,0.6243229493037
Combo_001.csv,0.0025,0.05500000000000001,0.6354017996379
Combo_001.csv,0.003,0.05500000000000001,0.6498718922838
Combo_001.csv,0.0035,0.05500000000000001,0.6679568545434
Combo_001.csv,0.004,0.05500000000000001,0.6768099471316
Combo_001.csv,0.0045,0.05500000000000001,0.6769204132115
Combo_001.csv,0.005,0.05500000000000001,0.6870701091256002
Combo_001.csv,0.0055,0.05500000000000001,0.6788478827147
Combo_001.csv,0.006,0.05500000000000001,0.6863336843011999
Combo_001.csv,0.0065,0.05500000000000001,0.6946959018967
Combo_001.csv,0.007,0.05500000000000001,0.7025635707153001
Combo_001.csv,0.0075,0.05500000000000001,0.6982962040249
Combo_001.csv,0.008,0.05500000000000001,0.6989997370112
Combo_001.csv,0.0085,0.05500000000000001,0.7061656334770999
Combo_001.csv,0.009,0.05500000000000001,0.7002056762718
Combo_001.csv,0.0095,0.05500000000000001,0.7064992961982
Combo_002.csv,1e-05,0.05500000000000001,0.3393965362779
Combo_002.csv,1.5e-05,0.05500000000000001,0.368409092644
Combo_002.csv,2e-05,0.05500000000000001,0.37874716938209996
Combo_002.csv,3e-05,0.05500000000000001,0.39577806742489996
Combo_002.csv,4e-05,0.05500000000000001,0.415051350419
Combo_002.csv,5e-05,0.05500000000000001,0.42590695198080003
Combo_002.csv,6e-05,0.05500000000000001,0.42451725109359995
Combo_002.csv,7e-05,0.05500000000000001,0.45057450368080004
Combo_002.csv,8e-05,0.05500000000000001,0.4668497571486
Combo_002.csv,9e-05,0.05500000000000001,0.46851614931070007
