,dataset_name,sampling_budget,query_ratio,mean_accuracy
13480,Gauss_eny_002.csv,0.09,0.01,0.838299344665
15376,Parcel_005.csv,0.18,0.07,0.991896398852
2358,Combo_012.csv,0.16,0.09,0.9140412793880001
6409,Diagonal_eny_003.csv,0.01,0.1,0.9275857889579999
937,Combo_005.csv,0.14,0.08,0.9456440360070001
8537,DiagonalRot_enx_001.csv,0.14,0.08,0.990223055917
15205,Parcel_005.csv,0.01,0.06,0.952567627999
8615,DiagonalRot_enx_002.csv,0.02,0.06,0.951415307437
15031,Parcel_004.csv,0.04,0.02,0.884078913315
20956,Uniform_eny_003.csv,0.16,0.07,0.993148108799
5665,Diagonal_enx_005.csv,0.07,0.06,0.930827376066
2134,Combo_011.csv,0.14,0.05,0.881275664649
4965,Diagonal_enx_001.csv,0.17,0.06,0.9696674020389999
17682,Parcel_017.csv,0.09,0.03,0.970575940185
21157,Uniform_eny_004.csv,0.16,0.08,0.995751458857
2774,Combo_014.csv,0.18,0.05,0.9438641477949999
19158,Uniform_006.csv,0.16,0.09,0.9954331769499999
11259,Gauss_003.csv,0.06,0.1,0.8289217340870001
3119,Combo_016.csv,0.12,0.1,0.9932325616050001
16005,Parcel_009.csv,0.01,0.06,0.954044189583
7178,Diagonal_eny_006.csv,0.18,0.09,0.9590183109270001
1210,Combo_007.csv,0.02,0.01,0.823676188246
10205,DiagonalRot_eny_004.csv,0.01,0.06,0.9665523463519999
6421,Diagonal_eny_003.csv,0.03,0.02,0.905255930548
1085,Combo_006.csv,0.09,0.06,0.921531712436
8513,DiagonalRot_enx_001.csv,0.12,0.04,0.997822260341
10470,DiagonalRot_eny_005.csv,0.08,0.01,0.995489332754
7136,Diagonal_eny_006.csv,0.14,0.07,0.968957383522
19332,Uniform_enx_001.csv,0.14,0.03,0.9840399694609999
11985,Gauss_006.csv,0.19,0.06,0.8399266619820001
21249,Uniform_eny_005.csv,0.05,0.1,0.9894012012860001
5814,Diagonal_enx_006.csv,0.02,0.05,0.9517594153899999
12032,Gauss_enx_001.csv,0.04,0.03,0.8038155148489999
12622,Gauss_enx_004.csv,0.03,0.03,0.770138463777
3379,Combo_017.csv,0.18,0.1,0.9949149999150001
1318,Combo_007.csv,0.12,0.09,0.992970145443
1769,Combo_009.csv,0.17,0.1,0.9948703328149999
17430,Parcel_016.csv,0.04,0.01,0.873974829932
10365,DiagonalRot_eny_004.csv,0.17,0.06,0.981804757624
8935,DiagonalRot_enx_003.csv,0.14,0.06,0.9225444152869999
8157,DiagonalRot_005.csv,0.16,0.08,0.959898165256
20166,Uniform_enx_005.csv,0.17,0.07,0.9943417291429999
3562,Combo_018.csv,0.17,0.03,0.98489599434
130,Combo_001.csv,0.14,0.01,0.808567302583
9849,DiagonalRot_eny_002.csv,0.05,0.1,0.97363331891
16049,Parcel_009.csv,0.05,0.1,0.987899734929
4880,Diagonal_enx_001.csv,0.09,0.01,0.9325107172329999
14131,Gauss_eny_005.csv,0.14,0.02,0.8573885589899999
4918,Diagonal_enx_001.csv,0.12,0.09,0.9535572249429999
7747,DiagonalRot_003.csv,0.15,0.08,0.972414827751
1623,Combo_009.csv,0.03,0.04,0.966480027719
15380,Parcel_005.csv,0.19,0.01,0.9504091422480001
1825,Combo_010.csv,0.03,0.06,0.8574715734909999
6842,Diagonal_eny_005.csv,0.05,0.03,0.909694933647
10883,Gauss_001.csv,0.09,0.04,0.808517649698
5513,Diagonal_enx_004.csv,0.12,0.04,0.935539860767
18267,Uniform_002.csv,0.07,0.08,0.990653754023
5990,Diagonal_enx_006.csv,0.2,0.01,0.96491356884
12266,Gauss_enx_002.csv,0.07,0.07,0.774445644779
4602,Diagonal_006.csv,0.01,0.03,0.897701074369
12436,Gauss_enx_003.csv,0.04,0.07,0.785507616922
9999,DiagonalRot_eny_002.csv,0.2,0.1,0.9891183659909999
5545,Diagonal_enx_004.csv,0.15,0.06,0.944486402999
2216,Combo_012.csv,0.02,0.07,0.764196284623
2995,Combo_015.csv,0.2,0.06,0.936112504725
3792,Diagonal_001.csv,0.2,0.03,0.946991550246
9791,DiagonalRot_eny_001.csv,0.2,0.02,0.985523852097
6126,Diagonal_eny_001.csv,0.13,0.07,0.962872288239
6003,Diagonal_eny_001.csv,0.01,0.04,0.92940720165
6225,Diagonal_eny_002.csv,0.03,0.06,0.916085777062
11500,Gauss_004.csv,0.11,0.01,0.774569008944
6920,Diagonal_eny_005.csv,0.13,0.01,0.928855925324
17893,Parcel_018.csv,0.1,0.04,0.948352684765
17856,Parcel_018.csv,0.06,0.07,0.963833892677
3940,Diagonal_002.csv,0.15,0.01,0.950143211153
17573,Parcel_016.csv,0.18,0.04,0.988156928565
11227,Gauss_003.csv,0.03,0.08,0.762980469517
4751,Diagonal_006.csv,0.16,0.02,0.9467977833110001
14814,Parcel_003.csv,0.02,0.05,0.964078212472
7534,DiagonalRot_002.csv,0.14,0.05,0.974508739843
7908,DiagonalRot_004.csv,0.11,0.09,0.972923827523
9375,DiagonalRot_enx_005.csv,0.18,0.06,0.933565734463
