0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,7,10,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,1,0,0,3,4,7,9,15,14,16,17,12,12,12,8,2,1,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,2,2,6,13,25,40,47,58,55,81,56,38,39,26,12,5,2,4,0,0,0,0,0,0,0
0,0,0,0,0,0,1,6,13,26,59,79,120,181,197,201,211,199,142,103,75,48,27,13,1,3,3,1,0,0,0,0
0,0,0,2,2,3,12,9,56,72,135,269,366,511,570,633,629,570,433,354,237,145,89,34,23,10,4,4,0,0,0,0
0,0,0,2,6,7,21,41,140,251,419,723,1050,1349,1620,1739,1762,1657,1349,963,691,450,234,117,58,22,9,3,0,0,0,0
0,0,0,2,10,23,51,178,304,597,1020,1836,2512,3255,4046,4573,4496,4065,3343,2558,1739,1028,545,284,133,65,17,5,4,0,0,0
0,1,2,6,21,62,119,339,709,1378,2380,3985,5800,7812,9387,10359,10303,9441,7692,5670,3855,2460,1351,641,310,124,41,11,6,0,0,0
0,0,3,11,43,125,328,664,1493,2882,5088,8388,12122,16366,19778,21722,21597,19622,15894,12065,8251,5005,2809,1345,628,290,119,32,15,0,0,0
0,1,7,32,67,191,554,1363,2752,5493,9837,15950,23563,31393,37900,41629,41333,37808,31230,23076,15779,9599,5443,2708,1264,501,198,62,19,8,3,2
2,4,10,36,121,328,979,2344,4811,9909,17353,28080,40755,54302,66165,72690,72619,65856,54088,40028,27135,16781,9344,4787,2211,940,358,138,41,12,3,1
2,3,20,55,208,583,1505,3580,7879,15644,27408,44182,65411,87407,104993,114800,114946,104210,85361,64062,43377,26488,14805,7666,3488,1392,560,194,60,12,1,0
0,7,26,93,281,864,2197,5172,11402,22327,40080,64154,94484,125543,151600,166799,167427,150871,124103,92623,62492,39070,21861,11018,5025,2128,824,302,77,24,11,1
3,6,29,124,389,1102,2905,6902,15096,29770,52463,84752,124699,166196,199939,220694,220884,200286,163158,122032,82773,50848,28698,14373,6629,2662,1024,380,109,35,1,3
1,12,43,128,440,1409,3466,8289,18159,35603,62712,102668,149371,199090,240948,264988,265114,238677,197099,147515,99802,61909,34245,17398,8002,3409,1298,468,146,34,6,4
1,15,55,175,509,1462,3936,8933,19819,38928,69004,112389,164351,219336,265440,289610,289294,262155,216165,161221,109498,67471,37264,18906,8922,3784,1322,462,150,53,13,2
3,16,40,158,518,1476,4029,9247,19710,39096,69266,111606,163052,218648,264947,291417,289359,262132,216741,161222,108915,67553,37489,19237,8780,3646,1359,475,139,41,9,5
5,4,36,160,446,1292,3587,8476,17961,35493,62871,101837,149223,197479,239968,263633,263873,238830,196956,146590,99560,61397,34184,17455,8002,3231,1286,463,147,47,10,1
1,4,28,121,370,1171,2900,6830,14892,29109,52313,83990,123139,164686,199898,219237,218718,197447,163098,121322,82524,51042,28528,14295,6696,2832,1064,372,120,27,3,1
1,7,21,87,287,809,2157,5186,11461,22320,39304,63815,93218,124955,150933,165473,165319,149489,123053,91830,62352,38001,21496,10998,5111,2054,802,258,88,24,12,0
2,3,19,52,199,614,1562,3585,7726,15273,27398,43509,64355,85961,103758,114339,114098,103073,84541,63576,42605,26449,14867,7530,3467,1492,506,180,60,14,6,2
4,6,10,42,124,360,985,2193,4899,9733,17065,27494,40476,54028,65008,71299,71011,65215,53038,39554,26868,16501,9199,4728,2195,860,327,117,30,11,3,0
0,2,10,22,74,214,550,1370,2741,5523,9843,15533,23228,30958,37159,41085,40692,36976,30357,22571,15604,9575,5190,2648,1275,509,195,67,23,4,3,0
0,2,5,11,48,122,271,706,1502,2921,5021,8137,12045,15838,19478,21445,21353,19230,15886,11898,7845,4881,2731,1461,654,288,101,30,14,5,0,0
0,0,0,6,18,42,118,304,676,1362,2432,3996,5750,7892,9240,10040,10151,9213,7277,5689,3695,2338,1269,682,349,117,48,15,7,6,0,0
0,0,0,1,12,20,64,133,309,558,1038,1670,2527,3243,3946,4455,4388,3971,3310,2468,1683,1028,530,273,122,43,15,9,1,0,1,0
0,0,0,1,2,7,11,61,113,267,389,661,991,1280,1590,1768,1759,1600,1336,926,667,421,236,114,45,27,7,5,1,2,0,0
0,1,0,0,0,3,7,21,44,87,143,231,384,460,580,657,611,546,453,341,230,136,84,46,21,8,5,1,0,0,0,0
0,0,0,0,2,0,0,5,14,35,45,98,136,142,173,191,195,185,160,114,80,32,31,9,12,2,0,0,0,0,0,0
0,0,0,0,0,0,3,3,6,3,11,27,26,42,60,68,54,52,42,31,12,11,8,4,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,5,5,7,5,10,15,11,17,11,11,11,4,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,3,2,2,3,0,1,2,0,0,0,0,0,0,0,0,0
